"","gender","university","living_zone","grade","tech_experience","X6.I.consider.myself.a.tech.savvy..well.informed.about.or.proficient.in.the.use.of.modern.technology..especially.computers.","X7.I.have.an.understanding.of.the.basic.computational.principles.of.artificial.intelligence..AI.","X8.I.am.comfortable.with.the.nomenclature.related.to.artificial.intelligence","X9.I.have.an.understanding.of.the.limitations.of.artificial.intelligence","X10.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Were.you.already.aware.of.these.topics.in.radiology..","X11.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Do.you.personally.have.a.basic.understanding.of.the.technologies.used.in.these.topics..","X13.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.is.a.class.of.machine.learning.algorithms.that.use.multiple.layers.of.neural.networks..","X14.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.methods.learn.directly.from.data..without.the.need.for.manual.feature.extraction..","X15.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Application.of.deep.learning.in.radiology.requires.large.databases.of.labeled.medical.images..","X16.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.systems.are.often.opaque..it.can.be.difficult.to.delineate.the.underlying..thought.process...","X17.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.radiology.","X18.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.medicine.in.general.","X19.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human.radiologist.will.be.replaced.in.the.foreseeable.future.","X20.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human..non.interventional..physician.will.be.replaced.in.the.foreseeable.future.","X21.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...In.the.foreseeable.future..all.physicians.will.be.replaced.","X22.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.frighten.me.","X23.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.radiology.more.exciting.to.me.","X24.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.medicine.in.general.more.exciting.to.me.","X25.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.never.make.the.human.physician.expendable.","X26.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.impact.of.artificial.intelligence.alone.will.reduce.the.number.of.radiologists.that.are.needed..","X27.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.radiology.","X28.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.medicine.in.general.","X29.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...I.am.less.likely.to.consider.a.career.in.radiology..given.the.advancement.of.AI.","X30.Which.of.these.specialties.do.you.think.will.be.impacted.the.earliest.and.most.","X31.All.medical.students.should.receive.teaching.in.artificial.intelligence","X32.Teaching.in.artificial.intelligence.will.be.beneficial.for.my.career","X33.At.the.end.of.my.medical.degree..I.will.be.confident.in.using.basic.healthcare.AI.tools.if.required","X34.At.the.end.of.my.medical.degree..I.will.have.a.better.understanding.of.the.methods.used.to.assess.healthcare.AI.algorithm.performance","X35.Overall..at.the.end.of.my.medical.degree..I.feel.I.will.possess.the.knowledge.needed.to.work.with.AI.in.routine.clinical.practice","X36.Would.you.consider.using.the.following.clinical.workflow..Patients..clinical.images.undergo.artificial.intelligence.analysis..A.specialist.subsequently.reviews.both.the.image.and.the.artificial.intelligence.findings.","X37.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.detection.of.pathologies.in.imaging.exams.","X38.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.diagnosis.in.imaging.exams.","X39.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.indication.of.appropriate.imaging.exams.","X6.I.consider.myself.a.tech.savvy..well.informed.about.or.proficient.in.the.use.of.modern.technology..especially.computers..1","df.ai_training","df.knowledge_merged"
"546","Female","Governnmental","Rural","3","2","0","9","0","0","1","1","1","0","9","0","1","1","1","1","1","1","1","1","1","1","1","1","1","9","1","9","1","9","1","9","1","1","1","D/SD","Yes","low"
"547","Male","Governnmental","Rural","3","3","9","9","9","0","0","0","9","9","9","9","1","1","9","9","9","9","1","1","9","9","1","1","9","9","1","1","1","9","0","1","9","0","0","N","No","low"
"548","Female","Governnmental","Urban","4","4","1","9","0","0","0","0","1","0","1","9","1","1","9","9","0","9","1","1","9","0","1","1","0","9","1","1","9","9","9","1","1","1","1","A/SA","No","low"
"549","Female","Governnmental","Urban","4","2","0","0","1","1","1","1","1","0","1","1","1","1","0","0","0","0","1","1","1","0","1","1","0","9","1","1","0","0","0","1","1","0","0","D/SD","No","high/moderate"
"550","Male","Governnmental","Urban","4","4","1","1","1","1","1","0","1","9","1","1","1","1","0","0","0","0","9","1","1","0","1","1","9","9","1","9","1","9","1","9","1","1","1","A/SA","No","high/moderate"
"551","Female","Governnmental","Urban","5","3","9","0","0","0","1","0","9","9","9","9","1","1","0","0","0","0","1","1","9","1","1","1","9","9","1","1","1","0","9","1","1","0","1","N","No","low"
"552","Female","Governnmental","Urban","5","3","9","1","9","9","1","0","0","0","1","1","1","1","1","1","1","1","9","9","9","1","1","1","1","9","1","1","0","0","1","9","1","9","1","N","Yes","low"
"553","Female","Governnmental","Rural","5","4","1","9","0","0","0","0","1","0","1","9","1","1","0","0","0","1","1","1","9","1","1","1","9","9","1","1","1","1","1","1","1","0","1","A/SA","No","low"
"554","Female","Governnmental","Urban","5","5","1","1","1","1","0","0","1","9","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","9","9","1","0","0","0","1","1","9","0","A/SA","No","high/moderate"
"555","Male","Governnmental","Rural","5","4","1","1","0","1","0","0","9","0","9","9","1","1","0","1","1","9","1","1","1","1","1","1","1","9","1","1","9","1","9","1","1","9","1","A/SA","No","low"
"556","Male","Governnmental","Rural","5","3","9","0","9","9","1","0","0","1","0","1","1","1","1","1","1","9","9","1","1","1","9","9","1","9","9","0","1","1","1","0","1","9","9","N","No","low"
"557","Male","Governnmental","Rural","5","4","1","9","1","0","0","0","9","9","9","9","1","1","9","1","9","0","9","9","0","0","1","1","9","9","0","0","1","9","1","1","1","1","9","A/SA","No","low"
"558","Male","Governnmental","Urban","5","3","9","0","0","0","0","0","1","0","1","1","1","1","9","9","0","0","1","1","1","1","1","1","0","9","1","1","1","1","1","1","1","1","1","N","No","low"
"559","Female","Governnmental","Rural","5","4","1","1","9","1","1","0","9","0","1","9","1","1","0","0","0","1","1","1","0","1","1","1","1","9","1","1","1","1","9","1","1","9","0","A/SA","No","low"
"560","Female","Governnmental","Urban","6","4","1","0","1","0","1","0","9","9","9","9","1","1","9","9","9","9","1","1","1","1","1","1","1","9","1","1","1","0","0","1","1","1","1","A/SA","No","low"
"561","Male","Governnmental","Rural","Intern (Emtyaz)","5","1","9","1","1","0","0","0","1","9","9","1","1","1","1","9","1","1","1","1","1","1","1","1","9","1","1","9","1","9","0","1","1","1","A/SA","Yes","low"
"562","Female","Governnmental","Urban","Intern (Emtyaz)","1","0","0","0","0","1","0","1","9","1","9","1","1","0","0","0","0","1","1","9","0","1","1","0","9","1","9","0","0","0","1","1","9","1","D/SD","No","low"
"563","Male","Governnmental","Urban","1","4","1","0","0","0","1","0","9","9","1","1","1","1","0","0","0","1","0","0","9","1","1","1","1","9","1","1","0","0","0","9","1","1","1","A/SA","No","low"
"564","Male","Governnmental","Rural","1","3","9","0","0","0","1","0","9","9","1","9","1","1","9","9","0","9","1","1","1","1","1","1","0","9","1","1","0","0","0","1","1","1","1","N","No","low"
"565","Male","Governnmental","Urban","1","2","0","0","0","0","0","0","9","9","9","9","1","1","0","0","0","1","9","9","1","1","1","1","9","9","1","1","0","0","0","9","1","1","1","D/SD","No","low"
"566","Female","Governnmental","Urban","2","2","0","0","0","0","0","0","9","9","9","0","1","1","0","0","0","1","0","0","1","1","1","1","9","9","1","1","0","0","0","9","9","9","1","D/SD","No","low"
"567","Male","Governnmental","Urban","2","1","0","0","0","0","0","0","9","9","9","9","1","1","0","0","0","1","9","9","0","1","1","9","1","9","1","1","0","0","0","9","1","9","9","D/SD","No","low"
"568","Male","Governnmental","Urban","3","2","0","9","1","0","0","0","9","9","9","9","1","1","1","9","0","0","1","9","9","9","1","1","9","9","1","1","1","9","1","1","9","9","9","D/SD","No","low"
"569","Female","Governnmental","Urban","3","1","0","0","0","0","0","0","9","9","9","9","1","1","0","0","0","9","0","0","9","9","1","1","1","9","1","1","0","0","0","9","1","1","1","D/SD","No","low"
"570","Male","Governnmental","Rural","3","2","0","0","0","0","0","0","9","9","9","9","1","1","0","0","0","9","0","0","9","1","1","1","1","9","1","1","0","0","0","9","9","9","9","D/SD","No","low"
"571","Female","Governnmental","Rural","3","3","9","0","0","0","1","0","9","1","1","9","1","1","0","0","0","1","9","9","0","9","1","1","9","9","1","1","0","0","0","1","1","1","1","N","No","low"
"572","Female","Governnmental","Rural","3","1","0","0","0","0","0","0","9","9","9","9","1","1","9","9","0","1","1","1","1","1","1","1","0","9","1","1","0","0","0","9","9","9","9","D/SD","No","low"
"573","Male","Governnmental","Urban","3","1","0","0","0","0","1","0","9","9","1","1","1","1","9","9","9","9","1","1","1","1","1","1","1","9","1","1","0","0","0","9","1","1","1","D/SD","No","low"
"574","Female","Governnmental","Rural","3","1","0","0","0","0","0","0","9","9","9","9","9","9","9","9","0","9","0","0","9","9","9","9","9","9","9","9","0","0","0","9","9","9","9","D/SD","No","low"
"575","Female","Governnmental","Rural","3","1","0","0","0","0","0","0","9","9","9","9","1","1","0","0","0","1","9","9","9","1","1","1","1","9","1","1","9","1","9","9","1","1","1","D/SD","No","low"
"576","Female","Governnmental","Urban","4","3","9","0","0","0","1","0","9","9","9","9","1","1","9","9","0","0","1","1","1","1","1","1","1","9","1","1","9","0","0","9","9","9","9","N","No","low"
"577","Male","Governnmental","Urban","4","2","0","0","0","0","1","0","9","9","1","9","1","1","0","0","0","0","0","0","1","1","1","1","1","9","1","1","0","0","0","1","1","1","1","D/SD","No","low"
"578","Female","Governnmental","Urban","4","1","0","0","0","0","0","0","9","9","9","9","1","9","0","0","0","1","0","0","1","0","1","1","9","9","1","1","0","0","0","9","9","9","9","D/SD","No","low"
"579","Female","Governnmental","Urban","4","3","9","0","0","0","0","0","9","9","9","9","1","1","9","9","9","9","1","1","1","1","1","1","9","9","1","1","1","1","1","1","1","1","1","N","No","low"
"580","Male","Governnmental","Urban","4","1","0","0","0","0","0","0","9","9","9","9","1","1","9","9","0","9","1","1","9","9","1","1","1","9","1","1","0","0","0","9","1","1","1","D/SD","No","low"
"581","Female","Governnmental","Urban","4","1","0","0","0","0","0","0","0","9","9","9","1","1","0","0","0","9","9","9","9","9","1","1","9","9","1","1","0","0","0","9","9","9","9","D/SD","No","low"
"582","Female","Governnmental","Urban","5","1","0","0","0","0","0","0","9","9","9","9","1","1","9","9","0","9","1","1","1","1","1","1","1","9","1","1","1","1","1","1","1","9","9","D/SD","No","low"
"583","Male","Governnmental","Urban","5","4","1","0","0","0","1","0","9","9","9","9","9","9","0","0","0","1","0","0","9","9","9","9","0","9","1","1","0","0","0","9","9","9","9","A/SA","No","low"
"584","Male","Governnmental","Urban","5","1","0","0","0","0","1","0","9","9","1","9","1","1","0","0","0","9","1","1","9","9","1","1","9","9","1","1","9","9","9","1","1","1","1","D/SD","No","low"
"585","Male","Governnmental","Rural","5","1","0","0","0","0","0","0","9","9","9","9","1","1","1","1","0","1","1","1","9","9","1","1","1","9","1","1","0","0","0","9","9","9","9","D/SD","No","low"
"586","Female","Governnmental","Urban","5","1","0","0","0","0","1","0","9","9","9","9","1","1","9","9","9","9","9","9","9","9","1","1","9","9","1","1","0","0","0","9","9","1","9","D/SD","No","low"
"587","Male","Governnmental","Rural","5","2","0","0","0","0","0","0","9","9","9","9","1","1","0","0","0","9","9","9","1","1","1","1","0","9","1","1","9","0","9","9","9","9","9","D/SD","No","low"
"588","Female","Governnmental","Urban","5","2","0","0","0","0","0","0","9","9","9","9","1","1","0","0","0","9","1","1","1","1","1","1","1","9","1","1","0","9","0","1","1","1","1","D/SD","No","low"
"589","Male","Governnmental","Urban","6","1","0","0","0","0","0","0","9","9","9","9","1","1","0","0","0","0","1","1","1","1","1","1","0","9","1","1","0","0","0","9","1","1","1","D/SD","No","low"
"590","Female","Governnmental","Urban","6","3","9","0","0","0","1","0","9","9","1","9","1","1","0","0","0","9","0","0","1","1","1","1","9","9","1","1","1","1","1","1","1","1","1","N","No","low"
"591","Female","Governnmental","Urban","Intern (Emtyaz)","3","9","0","0","0","0","0","9","9","9","9","1","1","9","9","9","9","1","1","1","1","1","1","9","9","1","1","1","1","1","1","1","1","1","N","No","low"
"592","Female","Governnmental","Urban","Intern (Emtyaz)","3","9","0","0","0","1","0","9","1","1","9","1","1","0","0","0","0","9","9","0","0","1","1","0","9","1","1","0","0","0","1","1","1","1","N","No","low"
"593","Male","Governnmental","Rural","Intern (Emtyaz)","2","0","0","0","0","1","0","9","9","9","9","1","1","0","0","0","9","9","9","1","1","1","1","9","9","1","1","9","9","9","1","1","1","1","D/SD","No","low"
"594","Male","Governnmental","Urban","Intern (Emtyaz)","4","1","0","0","0","1","0","0","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","9","1","1","9","9","0","1","1","1","1","A/SA","No","low"
"595","Male","Governnmental","Urban","Intern (Emtyaz)","2","0","0","0","0","1","0","9","9","1","1","1","1","0","0","0","0","1","1","1","1","1","1","9","9","1","1","0","0","0","1","0","1","0","D/SD","No","low"
"596","Male","Governnmental","Rural","5","3","9","0","0","0","1","0","9","9","9","9","1","1","0","0","0","9","1","1","1","9","1","1","9","9","1","1","0","0","0","1","1","1","1","N","No","low"
"597","Male","Governnmental","Rural","4","3","9","0","0","0","1","0","9","9","9","9","9","1","1","0","0","0","1","1","9","9","9","1","9","9","1","1","1","1","1","0","1","1","1","N","No","low"
"598","Male","Governnmental","Urban","5","5","1","0","0","0","1","0","9","9","9","9","1","1","0","0","0","0","1","1","1","1","1","1","9","9","0","9","0","0","0","9","1","0","1","A/SA","No","low"
"599","Male","Governnmental","Rural","2","3","9","0","0","0","0","1","9","9","9","9","1","1","9","0","0","0","9","0","1","1","1","1","1","9","0","9","9","1","9","9","1","1","0","N","No","low"
"600","Female","Governnmental","Urban","6","3","9","0","0","0","0","0","1","9","1","9","1","1","9","0","0","1","1","1","1","1","1","1","9","9","1","1","1","1","1","1","1","9","9","N","No","low"
"601","Female","Governnmental","Urban","5","1","0","0","0","0","0","0","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","1","0","0","0","0","9","9","9","9","D/SD","No","low"
"602","Male","Governnmental","Urban","4","3","9","0","0","0","1","0","1","1","1","1","1","9","9","0","0","0","1","1","0","9","1","0","0","9","1","1","9","0","0","1","1","1","9","N","No","low"
"603","Male","Governnmental","Urban","5","2","0","0","0","0","0","0","9","9","9","9","1","1","9","0","0","9","9","9","1","1","1","1","9","9","0","0","0","0","0","9","0","0","0","D/SD","No","low"
"604","Female","Governnmental","Urban","Intern (Emtyaz)","3","9","0","0","0","1","0","9","0","1","9","1","1","9","0","0","0","1","1","1","0","9","1","0","9","1","1","9","9","0","1","1","1","1","N","No","low"
"605","Female","Governnmental","Urban","6","3","9","0","0","0","0","0","9","9","9","9","1","1","0","0","0","0","1","9","1","0","1","1","9","9","1","1","9","9","0","1","9","9","1","N","No","low"
"606","Female","Governnmental","Urban","2","2","0","0","0","0","0","0","1","9","1","1","9","1","0","0","0","1","1","1","1","9","1","1","9","9","1","1","0","1","1","1","1","1","1","D/SD","No","low"
"607","Male","Governnmental","Urban","6","4","1","0","0","0","0","0","1","0","1","1","1","1","0","0","0","9","0","0","1","9","0","1","1","9","0","0","0","0","0","1","0","0","1","A/SA","No","low"
"608","Male","Governnmental","Urban","3","4","1","0","0","0","0","0","0","9","1","1","9","9","0","0","0","0","1","1","1","1","1","1","0","9","0","0","1","9","9","1","1","1","0","A/SA","No","low"
"609","Female","Governnmental","Rural","3","3","9","0","0","0","0","0","9","9","9","9","1","1","9","9","0","9","1","9","1","1","1","1","9","9","1","1","9","9","1","9","1","0","1","N","No","low"
"610","Male","Governnmental","Rural","6","3","9","9","0","0","0","0","1","9","1","1","1","1","0","0","0","0","9","9","1","9","1","1","0","9","1","1","9","0","0","1","1","1","1","N","No","low"
"611","Male","Governnmental","Urban","6","4","1","0","1","9","1","1","1","9","1","0","9","1","1","0","0","0","1","1","1","1","1","1","9","9","1","1","1","1","1","1","1","9","1","A/SA","No","high/moderate"
"612","Female","Governnmental","Urban","4","4","1","9","9","9","1","0","1","1","9","0","1","1","0","0","0","1","1","1","1","0","1","1","9","9","1","1","1","1","1","1","1","1","1","A/SA","No","low"
"613","Male","Governnmental","Rural","5","3","9","1","1","1","1","1","0","1","1","1","1","1","0","0","0","0","1","1","1","0","1","1","0","9","1","1","1","1","1","1","1","1","1","N","No","high/moderate"
"614","Male","Governnmental","Urban","5","4","1","9","9","9","0","0","9","9","1","1","1","1","0","0","0","9","1","1","1","0","1","1","0","9","1","1","1","1","1","1","9","9","1","A/SA","No","low"
"615","Male","Governnmental","Urban","Intern (Emtyaz)","5","1","0","0","0","0","0","1","0","1","9","1","1","0","0","0","0","1","1","1","0","0","1","0","9","1","1","1","1","1","1","1","9","1","A/SA","No","low"
"616","Male","Governnmental","Rural","2","2","0","0","0","0","1","0","9","9","9","9","1","1","1","9","0","1","0","9","1","1","1","1","1","9","0","0","0","0","0","1","0","9","1","D/SD","No","low"
"617","Male","Governnmental","Rural","5","3","9","0","0","0","0","0","9","1","9","1","1","1","9","0","0","1","9","0","1","9","1","0","1","9","0","0","0","0","0","0","1","0","9","N","No","low"
"618","Male","Governnmental","Urban","1","3","9","9","9","9","1","1","9","0","1","1","1","1","0","0","0","1","1","1","1","1","1","1","0","9","1","1","1","1","1","1","1","0","1","N","No","low"
"619","Female","Governnmental","Urban","3","3","9","0","0","0","0","0","9","9","9","9","1","1","9","0","0","9","1","1","1","9","9","1","9","9","1","1","1","1","1","9","1","1","1","N","No","low"
"620","Female","Governnmental","Rural","Intern (Emtyaz)","2","0","0","0","0","0","0","9","9","9","9","1","1","9","0","0","9","1","1","1","9","1","1","9","9","9","1","9","9","9","9","1","9","1","D/SD","No","low"
"621","Female","Governnmental","Urban","4","3","9","0","0","0","0","0","9","9","1","1","1","1","1","9","9","9","1","1","1","1","1","1","9","9","1","1","1","1","1","9","1","1","1","N","No","low"
"622","Male","Governnmental","Urban","6","3","9","0","0","0","0","1","9","1","1","1","1","1","0","0","0","0","9","9","1","0","1","1","9","9","1","9","0","0","0","9","9","9","9","N","No","low"
"623","Male","Governnmental","Rural","5","2","0","0","0","0","0","0","9","9","9","9","1","1","9","9","9","1","9","9","1","9","1","1","9","9","9","9","0","0","0","1","1","1","1","D/SD","No","low"
"624","Male","Governnmental","Rural","5","1","0","0","0","0","0","0","1","9","9","9","1","1","0","0","0","1","1","1","1","1","9","9","1","9","9","9","0","0","0","1","1","1","9","D/SD","No","low"
"625","Female","Governnmental","Urban","4","2","0","0","0","0","0","0","9","9","9","9","1","1","0","0","0","9","9","9","1","9","1","9","0","9","0","9","0","0","0","1","1","1","1","D/SD","No","low"
"626","Female","Governnmental","Urban","Intern (Emtyaz)","3","9","0","0","0","0","0","1","1","1","1","1","1","1","0","0","1","9","0","1","1","9","9","9","9","1","9","0","0","0","9","0","0","1","N","No","low"
"627","Female","Governnmental","Urban","Intern (Emtyaz)","3","9","0","0","0","0","0","9","9","9","9","1","1","9","9","9","1","1","1","1","0","1","1","9","9","1","1","0","9","9","1","1","1","1","N","No","low"
"628","Female","Governnmental","Urban","5","3","9","0","0","0","0","0","9","9","9","9","1","1","0","0","0","1","9","9","1","1","9","1","0","9","1","1","1","9","9","0","9","9","9","N","No","low"
"629","Female","Governnmental","Rural","6","2","0","0","0","0","0","0","9","9","9","9","1","1","1","1","9","1","0","1","1","1","1","1","1","9","1","1","1","1","1","9","1","1","1","D/SD","No","low"
"630","Female","Governnmental","Urban","6","3","9","9","0","0","0","0","1","0","1","1","1","1","1","9","0","1","0","1","0","1","1","1","1","9","9","0","0","9","0","1","9","1","1","N","No","low"
"631","Female","Governnmental","Rural","6","3","9","0","0","0","0","0","1","1","1","1","1","1","9","9","9","1","1","1","1","1","1","1","1","9","1","1","1","1","1","1","1","1","1","N","No","low"
"632","Female","Governnmental","Rural","6","1","0","0","0","0","0","0","9","9","9","9","1","1","1","0","0","1","1","1","1","1","1","1","1","9","9","1","0","0","0","1","1","1","1","D/SD","No","low"
"633","Female","Governnmental","Urban","6","3","9","0","0","0","0","0","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","1","9","9","9","1","9","9","9","N","Yes","low"
"634","Female","Governnmental","Rural","6","3","9","0","0","0","0","0","9","9","9","9","9","9","0","0","0","1","0","0","1","1","9","9","9","9","9","1","1","0","0","1","1","9","9","N","No","low"
"635","Female","Governnmental","Urban","6","4","1","0","0","0","0","0","9","9","1","9","1","1","9","0","0","1","1","1","1","0","1","9","9","9","1","1","9","1","1","1","1","1","1","A/SA","No","low"
"636","Female","Governnmental","Rural","6","3","9","1","1","0","0","0","9","9","9","9","1","1","0","0","0","0","1","1","1","9","1","1","0","9","1","1","0","0","0","1","0","0","0","N","No","low"
"637","Male","Governnmental","Urban","4","1","0","0","0","0","1","0","9","9","1","0","1","1","9","9","9","9","1","1","9","1","1","1","1","9","0","0","9","0","0","1","1","1","1","D/SD","No","low"
"638","Male","Governnmental","Urban","5","1","0","0","0","0","1","1","9","9","9","9","1","1","0","0","0","1","0","0","1","0","1","1","1","9","1","1","0","0","0","1","1","1","1","D/SD","No","low"
"639","Female","Governnmental","Urban","5","3","9","0","9","9","1","0","1","9","9","0","1","1","0","0","0","0","1","1","1","9","1","1","0","9","1","1","9","0","9","1","1","1","1","N","No","low"
"640","Female","Governnmental","Rural","2","3","9","0","0","0","0","0","1","9","9","9","1","1","1","1","1","1","1","1","1","1","1","1","1","9","1","1","1","1","1","0","9","0","0","N","Yes","low"
"641","Female","Governnmental","Rural","6","2","0","0","0","0","0","0","9","9","9","9","1","1","1","0","0","0","1","1","1","0","1","1","1","9","9","1","9","9","1","1","1","1","1","D/SD","No","low"
"642","Female","Governnmental","Urban","3","2","0","0","0","0","0","0","9","9","9","9","1","1","9","0","0","9","9","9","1","1","1","1","9","9","1","1","9","9","9","1","1","1","1","D/SD","No","low"
"643","Female","Governnmental","Urban","1","4","1","1","9","9","0","0","9","1","1","0","1","1","1","9","0","1","1","1","1","9","1","1","9","9","9","1","1","1","9","9","1","1","1","A/SA","No","low"
"644","Female","Governnmental","Urban","1","3","9","0","0","9","1","0","9","9","9","9","1","1","0","0","0","1","1","9","9","0","0","9","0","9","0","9","1","9","9","9","1","9","9","N","No","low"
"645","Male","Governnmental","Urban","5","2","0","9","0","0","1","0","1","0","1","0","1","1","1","0","0","9","1","1","1","1","1","1","9","9","1","9","1","1","1","9","9","1","1","D/SD","No","low"
"646","Female","Governnmental","Rural","6","1","0","0","0","0","1","0","1","9","1","1","9","1","1","9","9","9","9","9","9","9","1","1","9","9","1","1","1","1","1","1","1","1","1","D/SD","No","low"
"647","Male","Governnmental","Urban","4","4","1","1","9","9","0","0","1","0","0","1","1","1","0","0","0","0","1","1","1","0","1","1","0","9","1","1","1","1","1","1","1","1","1","A/SA","No","low"
"648","Female","Governnmental","Urban","4","3","9","9","9","0","1","0","1","1","1","1","1","1","1","0","0","9","1","1","1","1","1","1","9","9","1","1","1","1","1","1","1","0","9","N","No","high/moderate"
"649","Female","Governnmental","Urban","6","4","1","0","0","0","1","0","9","1","9","9","1","1","9","0","0","9","9","9","9","1","1","1","0","9","1","1","0","0","0","1","1","1","0","A/SA","No","low"
"650","Female","Governnmental","Rural","6","4","1","9","9","9","0","0","9","9","9","9","1","1","1","0","0","0","9","1","1","1","1","1","9","9","1","9","1","9","0","9","1","1","1","A/SA","No","low"
"651","Female","Governnmental","Urban","6","2","0","0","0","0","0","0","9","9","9","9","1","1","1","0","0","1","9","9","1","1","1","1","1","9","1","1","0","0","0","1","1","9","1","D/SD","No","low"
"652","Female","Governnmental","Rural","1","4","1","9","9","9","0","0","1","0","1","1","1","1","9","0","0","1","1","1","1","9","1","1","1","9","9","0","9","9","1","1","1","1","1","A/SA","No","low"
"653","Male","Governnmental","Urban","2","2","0","0","0","0","0","0","9","9","9","9","9","9","0","0","0","0","9","9","1","0","9","1","0","9","0","0","0","0","0","9","9","9","0","D/SD","No","low"
"654","Female","Governnmental","Rural","6","1","0","0","0","0","0","0","9","9","9","9","1","1","1","0","0","0","1","1","1","1","1","1","9","9","1","1","0","0","0","1","1","1","1","D/SD","No","low"
"655","Female","Governnmental","Rural","6","2","0","0","9","0","0","0","9","9","9","9","1","1","0","0","1","0","0","1","1","0","1","1","1","9","1","1","1","1","1","1","1","1","1","D/SD","No","low"
"656","Female","Governnmental","Urban","5","3","9","9","0","0","0","0","9","9","1","1","1","1","9","9","0","0","1","9","1","9","1","9","0","9","1","1","1","1","1","1","1","1","9","N","No","low"
"657","Male","Governnmental","Urban","4","2","0","0","0","0","0","0","1","9","1","0","1","1","9","0","0","1","1","1","1","9","1","1","0","9","1","1","1","1","1","1","1","1","1","D/SD","No","low"
"658","Female","Governnmental","Urban","1","5","1","0","1","9","1","1","1","1","1","1","1","1","1","1","1","9","1","1","9","1","9","1","1","9","9","9","0","0","9","0","1","1","1","A/SA","Yes","high/moderate"
"659","Male","Governnmental","Urban","1","3","9","0","0","0","1","1","9","9","1","9","1","1","1","0","0","1","0","1","1","1","1","1","1","9","1","1","1","1","1","1","1","1","9","N","No","low"
"660","Female","Governnmental","Rural","6","3","9","9","0","0","0","0","9","9","1","1","1","1","0","0","0","1","1","1","1","0","1","1","1","9","1","1","1","9","9","0","1","9","1","N","No","low"
"661","Male","Private","Urban","2","3","9","0","0","0","0","0","9","9","9","9","1","1","1","9","0","1","9","1","1","1","1","1","0","9","0","0","0","0","0","9","0","0","9","N","No","low"
"662","Female","Governnmental","Urban","3","3","9","9","9","9","0","0","9","9","9","9","1","1","1","1","0","9","0","1","1","1","1","1","1","9","1","1","1","1","1","9","1","9","1","N","No","low"
"663","Female","Governnmental","Rural","5","3","9","0","0","0","0","0","9","0","9","1","1","9","0","0","0","9","1","1","0","1","1","1","9","9","9","0","9","9","0","9","1","1","1","N","No","low"
"664","Male","Governnmental","Urban","5","3","9","9","0","0","0","0","1","0","0","0","1","1","0","0","0","9","9","9","9","9","9","9","9","9","9","9","1","9","9","1","1","1","1","N","No","low"
"665","Male","Private","Rural","2","3","9","1","9","9","1","1","9","9","9","9","1","1","0","0","0","9","1","1","9","1","1","1","9","9","1","1","1","1","1","9","1","0","9","N","No","low"
"666","Female","Governnmental","Urban","Intern (Emtyaz)","4","1","9","9","9","1","0","1","1","1","9","1","1","0","0","0","9","1","1","1","1","1","1","0","9","1","1","0","0","0","1","1","1","1","A/SA","No","high/moderate"
"667","Female","Governnmental","Rural","5","3","9","9","0","0","0","0","9","9","1","1","1","1","1","9","0","0","1","1","1","1","1","1","1","9","9","1","1","0","0","9","1","1","1","N","No","low"
