1 Gender,2 Country of residence,3 University,4 Where do you live? ,5 Grade,"6 I consider myself a tech-savvy (well informed about or proficient in the use of modern technology, especially computers)",7 I have an understanding of the basic computational principles of artificial intelligence (AI),8 I am comfortable with the nomenclature related to artificial intelligence,9 I have an understanding of the limitations of artificial intelligence,10 Deep Learning’ and ‘Artificial Intelligence’ are currently being broadly discussed in the radiological community. [Were you already aware of these topics in radiology?],11 Deep Learning’ and ‘Artificial Intelligence’ are currently being broadly discussed in the radiological community. [Do you personally have a basic understanding of the technologies used in these topics?],12 Your exposure to artificial intelligence includes: (Please select all that apply),"13 The following questions test your understanding of deep learning, a subtype of artificial intelligence.  [Deep learning is a class of machine learning algorithms that use multiple layers of neural networks.]","14 The following questions test your understanding of deep learning, a subtype of artificial intelligence.  [Deep learning methods learn directly from data, without the need for manual feature extraction.]","15 The following questions test your understanding of deep learning, a subtype of artificial intelligence.  [Application of deep learning in radiology requires large databases of labeled medical images.]","16 The following questions test your understanding of deep learning, a subtype of artificial intelligence.  [Deep learning systems are often opaque: it can be difficult to delineate the underlying ""thought process"".]",17 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will revolutionize radiology],18 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will revolutionize medicine in general],19 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [The human radiologist will be replaced in the foreseeable future],20 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [The human (non-interventional) physician will be replaced in the foreseeable future],"21 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [In the foreseeable future, all physicians will be replaced]",22 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [These developments frighten me],23 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [These developments make radiology more exciting to me],24 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [These developments make medicine in general more exciting to me],25 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will never make the human physician expendable],26 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [The impact of artificial intelligence alone will reduce the number of radiologists that are needed.],27 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will improve radiology],28 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will improve medicine in general],"29 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [I am less likely to consider a career in radiology, given the advancement of AI]",30 Which of these specialties do you think will be impacted the earliest and most?,31 All medical students should receive teaching in artificial intelligence,32 Teaching in artificial intelligence will be beneficial for my career,"33 At the end of my medical degree, I will be confident in using basic healthcare AI tools if required","34 At the end of my medical degree, I will have a better understanding of the methods used to assess healthcare AI algorithm performance","35 Overall, at the end of my medical degree, I feel I will possess the knowledge needed to work with AI in routine clinical practice",36 Would you consider using the following clinical workflow? Patients' clinical images undergo artificial intelligence analysis. A specialist subsequently reviews both the image and the artificial intelligence findings.,37 What potential applications for AI in radiology do you see? [Automated detection of pathologies in imaging exams],38 What potential applications for AI in radiology do you see? [Automated diagnosis in imaging exams],39 What potential applications for AI in radiology do you see? [Automated indication of appropriate imaging exams],40 I have received teaching/training in artificial intelligence,41 Was this teaching/training a compulsory part of your medical degree?,42 Please rate the usefulness of the teaching/training you have received
Female,Egypt,Governnmental,Rural,6,3,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Neutral,Disagree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Diagnostic radiology,4,3,2,2,2,Yes,Agree,Agree,Disagree,No,,
Female,Egypt,Governnmental,Rural,6,3,3,3,3,Yes,No,None of the above,TRUE,TRUE,TRUE,I don't know,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Surgery,5,5,5,5,5,Yes,Strongly agree,Neutral,Neutral,No,,
Female,Egypt,Governnmental,Urban,6,3,2,2,2,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Diagnostic radiology,4,4,1,1,1,Yes,Agree,Agree,Agree,No,,
Female,Sudan,Governnmental,Urban,6,1,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Diagnostic radiology,5,5,5,5,5,Unsure,Neutral,Agree,Agree,No,,
Female,Egypt,Governnmental,Rural,6,3,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Diagnostic radiology,3,3,3,3,3,Unsure,Agree,Agree,Agree,No,,
Female,Egypt,Governnmental,Rural,6,2,2,2,2,No,No,None of the above,TRUE,TRUE,TRUE,I don't know,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Diagnostic radiology,4,4,4,4,3,Unsure,Agree,Agree,Agree,No,,
Female,Egypt,Governnmental,Rural,6,1,1,1,1,No,No,None of the above,FALSE,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Diagnostic radiology,3,3,1,1,1,Yes,Neutral,Disagree,Agree,No,,
Male,Syria,Governnmental,Urban,4,4,3,3,2,Yes,No,None of the above,TRUE,TRUE,TRUE,TRUE,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Neutral,Surgery,5,5,3,3,4,No,Disagree,Disagree,Disagree,No,,
Female,Egypt,Governnmental,Rural,6,3,2,2,3,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Oncology,4,3,3,3,4,Unsure,Agree,Agree,Neutral,No,,
Male,Syria,Governnmental,Urban,4,3,2,2,2,No,No,None of the above,TRUE,FALSE,FALSE,TRUE,Agree,Agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Diagnostic radiology,4,4,3,3,3,No,Agree,Agree,Agree,No,,
Female,Jordan,Governnmental,Urban,4,3,1,2,2,No,No,None of the above,TRUE,I don't know,TRUE,TRUE,Agree,Strongly agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Oncology,5,5,5,5,5,Yes,Agree,Agree,Agree,No,,
Male,Syria,Private,Urban,3,4,4,4,3,No,Yes,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Diagnostic radiology,4,4,1,1,1,Yes,Disagree,Disagree,Disagree,No,,
Male,Syria,Governnmental,Urban,3,1,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Neutral,Surgery,5,5,3,5,5,Yes,Neutral,Neutral,Neutral,No,,
Male,Sudan,Private,Urban,6,2,2,3,2,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Diagnostic radiology,3,4,2,2,2,Unsure,Strongly agree,Strongly agree,Strongly agree,No,,
Female,Sudan,Governnmental,Urban,Intern (Emtyaz),3,3,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Diagnostic radiology,5,5,3,4,3,No,Agree,Agree,Neutral,No,,
Female,Egypt,Governnmental,Urban,6,3,3,3,2,Yes,No,Computer science projects involving artificial intelligence,TRUE,I don't know,TRUE,TRUE,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Diagnostic radiology,3,4,4,3,4,Yes,Agree,Disagree,Agree,No,,
Female,Sudan,Governnmental,Urban,5,3,4,2,2,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Surgery,4,3,3,3,3,Unsure,Agree,Neutral,Neutral,No,,
Female,Sudan,Governnmental,Urban,6,4,3,3,3,Yes,Yes,"Computer science projects involving artificial intelligence, Clinical research involving artificial intelligence",TRUE,TRUE,I don't know,I don't know,Agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Strongly agree,Disagree,Neutral,Neutral,Agree,Diagnostic radiology,5,4,4,3,3,Yes,Agree,Agree,Neutral,No,,
Female,Iraq,Governnmental,Urban,3,3,2,2,1,Yes,No,Courses on artificial intelligence / machine learning,I don't know,I don't know,I don't know,TRUE,Strongly agree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Agree,Disagree,Strongly agree,Internal medicine,4,3,3,3,3,Yes,Strongly agree,Agree,Neutral,No,,
Female,Sudan,Governnmental,Urban,4,3,1,1,1,No,No,None of the above,I don't know,FALSE,I don't know,I don't know,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Oncology,5,5,1,1,1,Yes,Strongly agree,Neutral,Neutral,No,,
Male,Iraq,Governnmental,Urban,3,1,1,2,1,Yes,Yes,None of the above,I don't know,I don't know,TRUE,I don't know,Agree,Neutral,Disagree,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Oncology,2,1,3,2,2,Unsure,Agree,Neutral,Strongly agree,No,,
Female,Libya,Governnmental,Urban,6,1,1,1,1,Yes,No,Courses on artificial intelligence / machine learning,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Diagnostic radiology,3,1,4,5,3,Unsure,Strongly agree,Strongly agree,Strongly agree,No,,
Female,Sudan,Governnmental,Rural,3,5,1,1,3,No,Yes,None of the above,TRUE,I don't know,TRUE,TRUE,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Diagnostic radiology,5,5,4,4,5,Yes,Strongly agree,Strongly agree,Agree,No,,
Male,Yemen,Governnmental,Urban,5,3,1,1,1,Yes,No,None of the above,TRUE,TRUE,TRUE,TRUE,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Neutral,Surgery,5,5,5,4,4,Yes,Agree,Agree,Agree,No,,
Female,Egypt,Governnmental,Urban,6,1,2,1,3,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Strongly agree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly agree,Agree,Agree,Agree,Disagree,Diagnostic radiology,5,3,1,1,1,Yes,Strongly agree,Neutral,Agree,No,,
Female,Libya,Governnmental,Urban,3,4,4,3,3,No,No,None of the above,TRUE,I don't know,TRUE,I don't know,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Oncology,5,5,4,4,4,Yes,Agree,Agree,Neutral,No,,
Male,Syria,Governnmental,Rural,5,2,2,2,1,No,No,None of the above,TRUE,TRUE,TRUE,TRUE,Strongly agree,Agree,Neutral,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Diagnostic radiology,4,4,1,1,1,Unsure,Strongly agree,Strongly agree,Strongly agree,No,,
Male,Yemen,Governnmental,Urban,5,3,4,3,3,Yes,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Diagnostic radiology,3,3,2,2,2,Unsure,Agree,Agree,Agree,No,,
Female,Libya,Governnmental,Urban,1,3,1,3,4,No,No,Computer science projects involving artificial intelligence,I don't know,FALSE,TRUE,I don't know,Strongly agree,Strongly agree,Neutral,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Pathology,4,5,5,5,5,Yes,Agree,Agree,Agree,No,,
Male,Sudan,Private,Urban,6,3,3,2,2,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Diagnostic radiology,5,5,5,5,5,Yes,Disagree,Strongly disagree,Disagree,No,,
Female,Sudan,Private,Urban,2,4,2,1,1,No,No,None of the above,TRUE,TRUE,TRUE,TRUE,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Oncology,5,5,3,3,3,Unsure,Neutral,Neutral,Neutral,No,,
Female,Egypt,Governnmental,Rural,6,3,4,4,4,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Diagnostic radiology,4,4,3,4,3,Yes,Neutral,Neutral,Neutral,No,,
Male,Egypt,Governnmental,Rural,2,2,2,2,1,Yes,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Surgery,5,3,4,4,3,Unsure,Strongly agree,Disagree,Strongly agree,No,,
Male,Syria,Governnmental,Urban,4,3,1,1,2,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Disagree,Internal medicine,5,5,5,5,5,Yes,Strongly agree,Neutral,Strongly agree,No,,
Male,Syria,Governnmental,Urban,Intern (Emtyaz),3,2,2,1,No,No,None of the above,TRUE,TRUE,TRUE,I don't know,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Disagree,Diagnostic radiology,5,5,1,1,1,Yes,Disagree,Disagree,Agree,No,,
Male,Algeria,Governnmental,Urban,Intern (Emtyaz),3,2,2,2,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Diagnostic radiology,5,5,5,5,5,Yes,Agree,Agree,Agree,No,,
Male,Algeria,Governnmental,Urban,Intern (Emtyaz),3,2,1,1,Yes,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Agree,Strongly agree,Neutral,Oncology,5,5,4,4,4,Yes,Strongly agree,Strongly agree,Strongly agree,No,,
Male,Algeria,International,Urban,3,4,4,4,4,Yes,Yes,Computer science projects involving artificial intelligence,TRUE,FALSE,TRUE,TRUE,Agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Neutral,Disagree,Diagnostic radiology,5,5,4,4,4,Yes,Agree,Agree,Disagree,Yes,Yes,4
Male,Algeria,Governnmental,Urban,5,3,1,3,2,No,No,None of the above,I don't know,FALSE,TRUE,TRUE,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Diagnostic radiology,3,2,4,4,2,Unsure,Agree,Agree,Agree,No,,
Male,Algeria,Governnmental,Urban,5,1,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly agree,Disagree,Neutral,Disagree,Disagree,Oncology,1,2,1,1,1,Unsure,Disagree,Disagree,Disagree,No,,
Male,Algeria,Governnmental,Urban,5,4,2,3,3,Yes,No,None of the above,TRUE,I don't know,TRUE,I don't know,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Diagnostic radiology,3,3,3,4,3,Yes,Agree,Agree,Agree,No,,
Male,Syria,Governnmental,Rural,2,2,1,1,1,Yes,No,None of the above,TRUE,FALSE,I don't know,TRUE,Strongly agree,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Dermatology,5,5,5,5,5,Yes,Strongly agree,Neutral,Neutral,No,,
Male,Algeria,Governnmental,Urban,5,4,4,2,2,Yes,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Diagnostic radiology,5,5,5,5,5,Yes,Agree,Agree,Agree,No,,
Male,Algeria,Governnmental,Rural,Intern (Emtyaz),3,2,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Neutral,Oncology,4,4,4,4,4,Unsure,Neutral,Neutral,Agree,No,,
Male,Yemen,International,Urban,Intern (Emtyaz),3,3,3,4,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Diagnostic radiology,4,4,4,3,3,Unsure,Neutral,Neutral,Neutral,No,,
Male,Syria,Governnmental,Urban,6,4,2,1,1,Yes,No,None of the above,I don't know,FALSE,TRUE,TRUE,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Surgery,4,5,5,5,5,Yes,Agree,Disagree,Disagree,No,,
Female,Egypt,Governnmental,Urban,Intern (Emtyaz),4,1,4,4,No,No,Clinical research involving artificial intelligence,TRUE,TRUE,TRUE,TRUE,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Oncology,3,3,4,3,3,Yes,Agree,Agree,Neutral,Yes,No,4
Female,Egypt,Governnmental,Rural,Intern (Emtyaz),2,1,1,1,Yes,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Diagnostic radiology,3,3,2,2,2,Yes,Agree,Agree,Agree,No,,
Female,Egypt,Governnmental,Rural,6,2,1,1,1,Yes,No,None of the above,I don't know,I don't know,I don't know,TRUE,Strongly agree,Strongly agree,Neutral,Disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly agree,Neutral,Agree,Agree,Disagree,Surgery,4,4,3,3,4,Yes,Agree,Agree,Agree,No,,
Male,Algeria,Governnmental,Urban,Intern (Emtyaz),4,4,3,3,No,Yes,Computer science projects involving artificial intelligence,TRUE,FALSE,TRUE,TRUE,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Diagnostic radiology,4,4,3,2,3,Yes,Agree,Disagree,Agree,No,,
Female,Egypt,Governnmental,Urban,Intern (Emtyaz),3,2,2,1,No,No,None of the above,TRUE,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Disagree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Disagree,Agree,Diagnostic radiology,4,2,4,2,2,Unsure,Neutral,Disagree,Strongly agree,No,,
Female,Egypt,Governnmental,Urban,Intern (Emtyaz),4,3,3,2,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Disagree,Diagnostic radiology,3,2,2,1,3,Unsure,Strongly agree,Strongly disagree,Neutral,No,,
Male,Algeria,Governnmental,Urban,Intern (Emtyaz),4,2,2,2,No,No,None of the above,FALSE,FALSE,TRUE,TRUE,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Oncology,1,1,1,3,1,Yes,Strongly agree,Strongly agree,Strongly agree,No,,
Female,Egypt,Governnmental,Rural,6,1,1,2,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Other,5,5,3,3,3,Yes,Neutral,Neutral,Neutral,No,,
Female,Algeria,Governnmental,Urban,Intern (Emtyaz),2,4,4,2,No,No,Clinical research involving artificial intelligence,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Oncology,5,5,5,5,5,Yes,Disagree,Disagree,Disagree,No,,
Female,Egypt,Governnmental,Rural,6,3,3,2,2,Yes,No,None of the above,I don't know,TRUE,TRUE,TRUE,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Diagnostic radiology,4,4,3,3,4,Yes,Neutral,Neutral,Neutral,No,,
Female,Egypt,Governnmental,Urban,6,4,4,3,2,No,No,None of the above,I don't know,I don't know,TRUE,I don't know,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Neutral,Diagnostic radiology,4,4,3,2,2,No,Neutral,Agree,Neutral,No,,
Female,Egypt,Governnmental,Rural,Intern (Emtyaz),3,3,2,1,No,No,Clinical research involving artificial intelligence,TRUE,TRUE,TRUE,I don't know,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Strongly disagree,Diagnostic radiology,3,3,3,3,3,Unsure,Agree,Agree,Agree,No,,
Female,Egypt,Governnmental,Rural,6,4,4,4,4,Yes,Yes,Computer science projects involving artificial intelligence,I don't know,FALSE,I don't know,FALSE,Neutral,Agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Pathology,5,5,5,3,4,Yes,Agree,Agree,Agree,No,,
Female,Egypt,Governnmental,Rural,6,3,3,3,3,No,No,None of the above,TRUE,I don't know,I don't know,FALSE,Strongly agree,Strongly agree,Neutral,Disagree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Diagnostic radiology,4,4,3,3,2,Yes,Strongly agree,Agree,Neutral,No,,
Female,Algeria,Governnmental,Rural,Intern (Emtyaz),3,2,1,1,No,No,None of the above,I don't know,FALSE,TRUE,I don't know,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Internal medicine,5,5,5,4,3,Yes,Strongly agree,Disagree,Agree,No,,
Female,Sudan,Governnmental,Urban,4,1,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Diagnostic radiology,5,3,3,1,1,Unsure,Neutral,Neutral,Neutral,No,,
Female,Sudan,Private,Urban,3,3,1,2,2,No,No,Courses on artificial intelligence / machine learning,I don't know,TRUE,TRUE,TRUE,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Family practice,4,4,4,3,3,Unsure,Agree,Disagree,Agree,No,,
Male,Algeria,Governnmental,Urban,Intern (Emtyaz),3,2,1,1,Yes,No,None of the above,I don't know,I don't know,TRUE,TRUE,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Diagnostic radiology,5,5,4,4,5,Yes,Neutral,Neutral,Neutral,No,,
Female,Egypt,Governnmental,Urban,Intern (Emtyaz),3,2,2,2,Yes,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Diagnostic radiology,4,3,3,3,3,Unsure,Agree,Neutral,Neutral,No,,
Female,Algeria,Governnmental,Urban,Intern (Emtyaz),2,2,2,2,Yes,Yes,Clinical research involving artificial intelligence,TRUE,FALSE,TRUE,TRUE,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Oncology,2,3,2,2,2,Yes,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,2
Female,Algeria,Governnmental,Urban,Intern (Emtyaz),3,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Diagnostic radiology,5,4,4,4,5,Yes,Agree,Agree,Agree,No,,
Male,Sudan,Private,Urban,5,5,3,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Surgery,1,3,3,3,3,Unsure,Neutral,Neutral,Neutral,No,,
Female,Sudan,Governnmental,Urban,5,3,3,4,3,No,No,None of the above,I don't know,I don't know,TRUE,TRUE,Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Diagnostic radiology,5,5,5,4,4,No,Agree,Agree,Agree,No,,
Female,Egypt,Governnmental,Rural,Intern (Emtyaz),2,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Neutral,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Surgery,5,4,1,1,1,Yes,Strongly agree,Strongly agree,Strongly agree,No,,
Female,Egypt,Governnmental,Urban,6,1,1,1,1,No,No,Clinical research involving artificial intelligence,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Diagnostic radiology,4,4,4,4,3,Unsure,Neutral,Neutral,Neutral,No,,
