"","X6.I.consider.myself.a.tech.savvy..well.informed.about.or.proficient.in.the.use.of.modern.technology..especially.computers.","X7.I.have.an.understanding.of.the.basic.computational.principles.of.artificial.intelligence..AI.","X8.I.am.comfortable.with.the.nomenclature.related.to.artificial.intelligence","X9.I.have.an.understanding.of.the.limitations.of.artificial.intelligence","X10.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Were.you.already.aware.of.these.topics.in.radiology..","X11.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Do.you.personally.have.a.basic.understanding.of.the.technologies.used.in.these.topics..","X13.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.is.a.class.of.machine.learning.algorithms.that.use.multiple.layers.of.neural.networks..","X14.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.methods.learn.directly.from.data..without.the.need.for.manual.feature.extraction..","X15.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Application.of.deep.learning.in.radiology.requires.large.databases.of.labeled.medical.images..","X16.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.systems.are.often.opaque..it.can.be.difficult.to.delineate.the.underlying..thought.process...","X17.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.radiology.","X18.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.medicine.in.general.","X19.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human.radiologist.will.be.replaced.in.the.foreseeable.future.","X20.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human..non.interventional..physician.will.be.replaced.in.the.foreseeable.future.","X21.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...In.the.foreseeable.future..all.physicians.will.be.replaced.","X22.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.frighten.me.","X23.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.radiology.more.exciting.to.me.","X24.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.medicine.in.general.more.exciting.to.me.","X25.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.never.make.the.human.physician.expendable.","X26.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.impact.of.artificial.intelligence.alone.will.reduce.the.number.of.radiologists.that.are.needed..","X27.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.radiology.","X28.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.medicine.in.general.","X29.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...I.am.less.likely.to.consider.a.career.in.radiology..given.the.advancement.of.AI.","X30.Which.of.these.specialties.do.you.think.will.be.impacted.the.earliest.and.most.","X31.All.medical.students.should.receive.teaching.in.artificial.intelligence","X32.Teaching.in.artificial.intelligence.will.be.beneficial.for.my.career","X33.At.the.end.of.my.medical.degree..I.will.be.confident.in.using.basic.healthcare.AI.tools.if.required","X34.At.the.end.of.my.medical.degree..I.will.have.a.better.understanding.of.the.methods.used.to.assess.healthcare.AI.algorithm.performance","X35.Overall..at.the.end.of.my.medical.degree..I.feel.I.will.possess.the.knowledge.needed.to.work.with.AI.in.routine.clinical.practice","X36.Would.you.consider.using.the.following.clinical.workflow..Patients..clinical.images.undergo.artificial.intelligence.analysis..A.specialist.subsequently.reviews.both.the.image.and.the.artificial.intelligence.findings.","X37.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.detection.of.pathologies.in.imaging.exams.","X38.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.diagnosis.in.imaging.exams.","X39.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.indication.of.appropriate.imaging.exams."
"568","D/SD","N","A/SA","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","N","D/SD","D/SD","A/SA","N","N","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","N","A/SA","Yes","N","N","N"
"569","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","D/SD","D/SD","N","N","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","A/SA","A/SA","A/SA"
"570","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","D/SD","D/SD","N","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","N","N","N"
"571","N","D/SD","D/SD","D/SD","Yes","No","I don't know","TRUE","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","N","N","D/SD","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"572","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","N","N","N"
"573","D/SD","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","TRUE","TRUE","A/SA","A/SA","N","N","N","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","A/SA","A/SA","A/SA"
"574","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","N","N","N","D/SD","N","D/SD","D/SD","N","N","N","N","N","I don't know","N","N","D/SD","D/SD","D/SD","Unsure","N","N","N"
"575","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","N","N","N","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","N","A/SA","N","Unsure","A/SA","A/SA","A/SA"
"576","N","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","N","D/SD","D/SD","Unsure","N","N","N"
"577","D/SD","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"578","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","N","D/SD","D/SD","D/SD","A/SA","D/SD","D/SD","A/SA","D/SD","A/SA","A/SA","N","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","N","N","N"
"579","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"580","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","N","A/SA","A/SA","N","N","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","A/SA","A/SA","A/SA"
"581","D/SD","D/SD","D/SD","D/SD","No","No","FALSE","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","N","N","N","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","N","N","N"
"582","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","N"
"583","A/SA","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","N","N","D/SD","D/SD","D/SD","A/SA","D/SD","D/SD","N","N","N","N","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","N","N","N"
"584","D/SD","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","N","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","N","N","Yes","A/SA","A/SA","A/SA"
"585","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","N","N","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","N","N","N"
"586","D/SD","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","N","N","N","N","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","N","A/SA","N"
"587","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","N","N","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","N","D/SD","N","Unsure","N","N","N"
"588","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","N","D/SD","Yes","A/SA","A/SA","A/SA"
"589","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","A/SA","A/SA","A/SA"
"590","N","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"591","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"592","N","D/SD","D/SD","D/SD","Yes","No","I don't know","TRUE","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","N","N","D/SD","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"593","D/SD","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","N","N","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","N","N","Yes","A/SA","A/SA","A/SA"
"594","A/SA","D/SD","D/SD","D/SD","Yes","No","FALSE","TRUE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","N","N","D/SD","Yes","A/SA","A/SA","A/SA"
"595","D/SD","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","D/SD","A/SA","D/SD"
"596","N","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"597","N","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","N","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","N","N","N","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","No","A/SA","A/SA","A/SA"
"598","A/SA","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","D/SD","N","D/SD","D/SD","D/SD","Unsure","A/SA","D/SD","A/SA"
"599","N","D/SD","D/SD","D/SD","No","Yes","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","D/SD","N","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","D/SD","N","N","A/SA","N","Unsure","A/SA","A/SA","D/SD"
"600","N","D/SD","D/SD","D/SD","No","No","TRUE","I don't know","TRUE","I don't know","A/SA","A/SA","N","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","N"
"601","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","N","N","N","N","N","N","N","N","N","N","N","N","I don't know","A/SA","D/SD","D/SD","D/SD","D/SD","Unsure","N","N","N"
"602","N","D/SD","D/SD","D/SD","Yes","No","TRUE","TRUE","TRUE","TRUE","A/SA","N","N","D/SD","D/SD","D/SD","A/SA","A/SA","D/SD","N","A/SA","D/SD","D/SD","I don't know","A/SA","A/SA","N","D/SD","D/SD","Yes","A/SA","A/SA","N"
"603","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","N","N","A/SA","A/SA","A/SA","A/SA","N","I don't know","D/SD","D/SD","D/SD","D/SD","D/SD","Unsure","D/SD","D/SD","D/SD"
"604","N","D/SD","D/SD","D/SD","Yes","No","I don't know","FALSE","TRUE","I don't know","A/SA","A/SA","N","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","D/SD","N","A/SA","D/SD","I don't know","A/SA","A/SA","N","N","D/SD","Yes","A/SA","A/SA","A/SA"
"605","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","N","A/SA","D/SD","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","N","D/SD","Yes","N","N","A/SA"
"606","D/SD","D/SD","D/SD","D/SD","No","No","TRUE","I don't know","TRUE","TRUE","N","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","D/SD","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"607","A/SA","D/SD","D/SD","D/SD","No","No","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","N","D/SD","D/SD","A/SA","N","D/SD","A/SA","A/SA","I don't know","D/SD","D/SD","D/SD","D/SD","D/SD","Yes","D/SD","D/SD","A/SA"
"608","A/SA","D/SD","D/SD","D/SD","No","No","FALSE","I don't know","TRUE","TRUE","N","N","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","D/SD","D/SD","A/SA","N","N","Yes","A/SA","A/SA","D/SD"
"609","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","N","A/SA","N","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","N","A/SA","Unsure","A/SA","D/SD","A/SA"
"610","N","N","D/SD","D/SD","No","No","TRUE","I don't know","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","N","N","A/SA","N","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","N","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"611","A/SA","D/SD","A/SA","N","Yes","Yes","TRUE","I don't know","TRUE","FALSE","N","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","A/SA"
"612","A/SA","N","N","N","Yes","No","TRUE","TRUE","I don't know","FALSE","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"613","N","A/SA","A/SA","A/SA","Yes","Yes","FALSE","TRUE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"614","A/SA","N","N","N","No","No","I don't know","I don't know","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","N","N","A/SA"
"615","A/SA","D/SD","D/SD","D/SD","No","No","TRUE","FALSE","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","D/SD","D/SD","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","A/SA"
"616","D/SD","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","N","D/SD","A/SA","D/SD","N","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","D/SD","D/SD","D/SD","D/SD","D/SD","Yes","D/SD","N","A/SA"
"617","N","D/SD","D/SD","D/SD","No","No","I don't know","TRUE","I don't know","TRUE","A/SA","A/SA","N","D/SD","D/SD","A/SA","N","D/SD","A/SA","N","A/SA","D/SD","A/SA","I don't know","D/SD","D/SD","D/SD","D/SD","D/SD","No","A/SA","D/SD","N"
"618","N","N","N","N","Yes","Yes","I don't know","FALSE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","D/SD","A/SA"
"619","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","A/SA","A/SA","A/SA","N","N","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","A/SA","A/SA"
"620","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","N","A/SA","N","N","N","Unsure","A/SA","N","A/SA"
"621","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","TRUE","TRUE","A/SA","A/SA","A/SA","N","N","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","A/SA","A/SA"
"622","N","D/SD","D/SD","D/SD","No","Yes","I don't know","TRUE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","N","N","A/SA","D/SD","A/SA","A/SA","N","I don't know","A/SA","N","D/SD","D/SD","D/SD","Unsure","N","N","N"
"623","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","A/SA","N","N","A/SA","N","A/SA","A/SA","N","I don't know","N","N","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"624","D/SD","D/SD","D/SD","D/SD","No","No","TRUE","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","N","N","A/SA","I don't know","N","N","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","N"
"625","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","N","N","A/SA","N","A/SA","N","D/SD","I don't know","D/SD","N","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"626","N","D/SD","D/SD","D/SD","No","No","TRUE","TRUE","TRUE","TRUE","A/SA","A/SA","A/SA","D/SD","D/SD","A/SA","N","D/SD","A/SA","A/SA","N","N","N","I don't know","A/SA","N","D/SD","D/SD","D/SD","Unsure","D/SD","D/SD","A/SA"
"627","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","N","I don't know","A/SA","A/SA","D/SD","N","N","Yes","A/SA","A/SA","A/SA"
"628","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","N","N","A/SA","A/SA","N","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","N","N","No","N","N","N"
"629","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","N","A/SA","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","A/SA","A/SA"
"630","N","N","D/SD","D/SD","No","No","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","A/SA","N","D/SD","A/SA","D/SD","A/SA","D/SD","A/SA","A/SA","A/SA","A/SA","I don't know","N","D/SD","D/SD","N","D/SD","Yes","N","A/SA","A/SA"
"631","N","D/SD","D/SD","D/SD","No","No","TRUE","TRUE","TRUE","TRUE","A/SA","A/SA","N","N","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"632","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","N","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"633","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","N","N","N","N","N","N","N","N","N","N","N","N","I don't know","N","A/SA","N","N","N","Yes","N","N","N"
"634","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","N","D/SD","D/SD","D/SD","A/SA","D/SD","D/SD","A/SA","A/SA","N","N","N","I don't know","N","A/SA","A/SA","D/SD","D/SD","Yes","A/SA","N","N"
"635","A/SA","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","N","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","N","N","I don't know","A/SA","A/SA","N","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"636","N","A/SA","A/SA","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","N","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","D/SD","D/SD","D/SD"
"637","D/SD","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","TRUE","FALSE","A/SA","A/SA","N","N","N","N","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","I don't know","D/SD","D/SD","N","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"638","D/SD","D/SD","D/SD","D/SD","Yes","Yes","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","D/SD","D/SD","A/SA","D/SD","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"639","N","D/SD","N","N","Yes","No","TRUE","I don't know","I don't know","FALSE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","N","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","N","D/SD","N","Yes","A/SA","A/SA","A/SA"
"640","N","D/SD","D/SD","D/SD","No","No","TRUE","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","No","N","D/SD","D/SD"
"641","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","I don't know","N","A/SA","N","N","A/SA","Yes","A/SA","A/SA","A/SA"
"642","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","N","N","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","N","N","Yes","A/SA","A/SA","A/SA"
"643","A/SA","A/SA","N","N","No","No","I don't know","TRUE","TRUE","FALSE","A/SA","A/SA","A/SA","N","D/SD","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","N","A/SA","A/SA","A/SA","N","Unsure","A/SA","A/SA","A/SA"
"644","N","D/SD","D/SD","N","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","N","N","D/SD","D/SD","N","D/SD","I don't know","D/SD","N","A/SA","N","N","Unsure","A/SA","N","N"
"645","D/SD","N","D/SD","D/SD","Yes","No","TRUE","FALSE","TRUE","FALSE","A/SA","A/SA","A/SA","D/SD","D/SD","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","N","A/SA","A/SA","A/SA","Unsure","N","A/SA","A/SA"
"646","D/SD","D/SD","D/SD","D/SD","Yes","No","TRUE","I don't know","TRUE","TRUE","N","A/SA","A/SA","N","N","N","N","N","N","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"647","A/SA","A/SA","N","N","No","No","TRUE","FALSE","FALSE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
