"","gender","university","living_zone","grade_merged","knowledge_merged","tech_merged","ai_training"
"1027","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1028","Female","Governnmental","Rural","Clinical Years","low","N","No"
"1029","Female","Governnmental","Urban","Clinical Years","high/moderate","D/SD","Yes"
"1030","Female","Governnmental","Urban","Academic years","high/moderate","A/SA","Yes"
"1031","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1032","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1033","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1034","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1035","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1036","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"1037","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1038","Female","Governnmental","Urban","Academic years","low","N","No"
"1039","Female","International","Urban","Academic years","low","A/SA","Yes"
"1040","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1041","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","Yes"
"1042","Female","Governnmental","Rural","Clinical Years","low","N","No"
"1043","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1044","Female","Governnmental","Rural","Clinical Years","low","N","No"
"1045","Female","Governnmental","Urban","Academic years","low","N","No"
"1046","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1047","Female","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"1048","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1049","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1050","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1051","Female","Private","Urban","Academic years","low","D/SD","No"
"1052","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1053","Female","Private","Urban","Academic years","low","A/SA","No"
"1054","Male","Governnmental","Rural","Academic years","low","N","No"
"1055","Male","Governnmental","Rural","Academic years","low","D/SD","No"
"1056","Female","Governnmental","Urban","Academic years","low","N","No"
"1057","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"1058","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1059","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"1060","Female","Governnmental","Urban","Academic years","low","N","No"
"1061","Male","Governnmental","Urban","Academic years","low","N","No"
"1062","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"1063","Female","Governnmental","Rural","Clinical Years","low","D/SD","No"
"1064","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1065","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1066","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"1067","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1068","Male","Governnmental","Urban","Academic years","low","N","No"
"1069","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1070","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1071","Female","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"1072","Female","Private","Urban","Academic years","low","A/SA","No"
"1073","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1074","Male","Private","Urban","Academic years","low","A/SA","No"
"1075","Female","International","Urban","Clinical Years","low","N","No"
"1076","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1077","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1078","Male","Governnmental","Urban","Academic years","low","N","No"
"1079","Male","Private","Urban","Academic years","high/moderate","A/SA","No"
"1080","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1081","Female","Governnmental","Urban","Academic years","low","N","No"
"1082","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1083","Male","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"1084","Male","Governnmental","Rural","Clinical Years","low","N","No"
"1085","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1086","Male","Private","Urban","Academic years","low","A/SA","No"
"1087","Female","Governnmental","Rural","Academic years","low","N","No"
"1088","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1089","Female","Private","Urban","Academic years","low","A/SA","No"
"1090","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1091","Female","Private","Urban","Academic years","low","D/SD","No"
"1092","Female","Private","Urban","Academic years","low","N","No"
"1093","Female","Private","Urban","Academic years","low","A/SA","No"
"1094","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1095","Male","Private","Rural","Academic years","low","D/SD","No"
"1096","Female","Private","Urban","Academic years","low","N","Yes"
"1097","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1098","Female","Governnmental","Urban","Academic years","low","N","No"
"1099","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1100","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1101","Female","Governnmental","Urban","Academic years","low","A/SA","Yes"
"1102","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1103","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"1104","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1105","Male","Governnmental","Urban","Clinical Years","low","N","Yes"
"1106","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1107","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1108","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1109","Male","Governnmental","Urban","Clinical Years","high/moderate","N","Yes"
"1110","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1111","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1112","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1113","Female","Governnmental","Rural","Academic years","low","A/SA","No"
"1114","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1115","Female","Governnmental","Rural","Academic years","low","N","No"
"1116","Female","Governnmental","Urban","Academic years","low","N","No"
"1117","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1118","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1119","Female","Governnmental","Rural","Clinical Years","low","N","No"
"1120","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1121","Female","Governnmental","Rural","Clinical Years","low","N","No"
"1122","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1123","Female","Governnmental","Rural","Academic years","low","N","No"
"1124","Female","Governnmental","Urban","Academic years","low","N","No"
"1125","Male","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"1126","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1127","Male","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"1128","Female","Private","Urban","Academic years","high/moderate","D/SD","No"
"1129","Female","Governnmental","Rural","Clinical Years","low","N","No"
"1130","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1131","Female","Governnmental","Rural","Clinical Years","low","A/SA","No"
"1132","Female","Governnmental","Urban","Academic years","low","N","No"
"1133","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1134","Male","Governnmental","Rural","Academic years","low","N","No"
"1135","Female","Governnmental","Rural","Clinical Years","low","N","No"
"1136","Female","Governnmental","Rural","Academic years","low","N","No"
"1137","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1138","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1139","Female","Governnmental","Urban","Academic years","low","N","No"
"1140","Female","Governnmental","Rural","Academic years","low","N","No"
"1141","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"1142","Female","Governnmental","Rural","Clinical Years","low","N","No"
"1143","Female","Private","Urban","Academic years","low","D/SD","No"
"1144","Female","Governnmental","Urban","Clinical Years","low","D/SD","Yes"
"1145","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1146","Female","Governnmental","Rural","Academic years","low","N","No"
"1147","Female","Private","Urban","Academic years","low","A/SA","No"
"1148","Female","Governnmental","Urban","Academic years","low","N","No"
"1149","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"1150","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1151","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1152","Female","Governnmental","Rural","Clinical Years","low","D/SD","No"
"1153","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1154","Female","Governnmental","Rural","Academic years","low","N","No"
"1155","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1156","Female","Governnmental","Rural","Clinical Years","low","N","No"
"1157","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1158","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1159","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1160","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1161","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1162","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1163","Male","Governnmental","Rural","Clinical Years","low","D/SD","Yes"
"1164","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1165","Male","Governnmental","Rural","Clinical Years","low","A/SA","No"
"1166","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1167","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1168","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1169","Male","Governnmental","Rural","Clinical Years","low","D/SD","No"
"1170","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1171","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1172","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1173","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1174","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1175","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1176","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1177","Female","Governnmental","Rural","Clinical Years","low","D/SD","No"
"1178","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1179","Male","Private","Urban","Clinical Years","low","A/SA","Yes"
"1180","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1181","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1182","Female","Private","Urban","Clinical Years","low","D/SD","No"
"1183","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1184","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1185","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1186","Male","Governnmental","Rural","Clinical Years","low","A/SA","No"
"1187","Male","Private","Urban","Clinical Years","high/moderate","N","Yes"
"1188","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1189","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1190","Female","Governnmental","Urban","Academic years","low","N","No"
"1191","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1192","Male","Private","Urban","Academic years","low","D/SD","No"
"1193","Male","Governnmental","Urban","Academic years","low","N","No"
"1194","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1195","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"1196","Male","Private","Urban","Academic years","low","D/SD","Yes"
"1197","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1198","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1199","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1200","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"1201","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"1202","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"1203","Female","Governnmental","Urban","Academic years","low","N","No"
"1204","Male","Governnmental","Urban","Academic years","low","N","No"
"1205","Female","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"1206","Male","Governnmental","Urban","Academic years","low","N","No"
"1207","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1208","Female","Governnmental","Urban","Academic years","low","N","No"
"1209","Female","Governnmental","Urban","Academic years","low","N","No"
"1210","Female","Governnmental","Urban","Academic years","low","N","No"
"1211","Male","Private","Urban","Academic years","low","N","No"
"1212","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1213","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1214","Female","Governnmental","Urban","Academic years","high/moderate","N","No"
"1215","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"1216","Male","Governnmental","Rural","Academic years","low","N","No"
"1217","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1218","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1219","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1220","Male","Private","Urban","Academic years","low","A/SA","No"
"1221","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1222","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1223","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1224","Female","Governnmental","Rural","Clinical Years","low","A/SA","No"
"1225","Female","Governnmental","Urban","Academic years","low","N","Yes"
"1226","Male","Governnmental","Rural","Clinical Years","low","A/SA","No"
"1227","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1228","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1229","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1230","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"1231","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1232","Female","Governnmental","Urban","Academic years","low","N","No"
"1233","Male","Private","Urban","Clinical Years","low","A/SA","No"
"1234","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1235","Female","Governnmental","Rural","Clinical Years","low","N","No"
"1236","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1237","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1238","Female","Private","Urban","Clinical Years","low","N","No"
"1239","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1240","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1241","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1242","Male","Governnmental","Rural","Clinical Years","low","A/SA","No"
"1243","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1244","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1245","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1246","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"1247","Male","Governnmental","Urban","Academic years","high/moderate","D/SD","No"
"1248","Male","Governnmental","Urban","Academic years","low","N","No"
"1249","Male","Governnmental","Urban","Academic years","low","N","No"
"1250","Male","Governnmental","Rural","Academic years","low","A/SA","No"
"1251","Male","Governnmental","Urban","Academic years","low","N","No"
"1252","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1253","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1254","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"1255","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1256","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1257","Female","Governnmental","Rural","Academic years","high/moderate","A/SA","No"
"1258","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1259","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1260","Female","Governnmental","Rural","Clinical Years","low","D/SD","No"
"1261","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1262","Female","International","Urban","Academic years","low","A/SA","No"
"1263","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1264","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1265","Female","Governnmental","Urban","Academic years","low","N","No"
"1266","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1267","Female","Governnmental","Urban","Academic years","low","N","No"
"1268","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1269","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"1270","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"1271","Male","Governnmental","Rural","Academic years","high/moderate","N","No"
"1272","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1273","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"1274","Male","Governnmental","Urban","Academic years","low","N","No"
"1275","Male","Governnmental","Rural","Academic years","low","D/SD","No"
"1276","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1277","Male","Governnmental","Rural","Academic years","low","D/SD","No"
"1278","Female","Governnmental","Urban","Academic years","low","N","No"
"1279","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1280","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"1281","Male","Governnmental","Urban","Academic years","low","N","No"
"1282","Male","Governnmental","Urban","Academic years","low","N","No"
"1283","Male","Governnmental","Rural","Academic years","low","A/SA","No"
"1284","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1285","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1286","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"1287","Female","Governnmental","Urban","Academic years","low","N","No"
"1288","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1289","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1290","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"1291","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1292","Female","Governnmental","Rural","Academic years","low","N","No"
"1293","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1294","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1295","Female","Governnmental","Rural","Academic years","low","A/SA","No"
"1296","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1297","Male","Private","Urban","Clinical Years","high/moderate","A/SA","No"
"1298","Female","Private","Urban","Clinical Years","low","D/SD","No"
"1299","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1300","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1301","Male","Governnmental","Urban","Academic years","low","N","No"
"1302","Female","Governnmental","Urban","Academic years","low","N","No"
"1303","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1304","Female","Governnmental","Rural","Academic years","low","A/SA","No"
"1305","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1306","Female","Governnmental","Urban","Academic years","low","N","No"
"1307","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1308","Male","Governnmental","Urban","Academic years","low","N","No"
"1309","Female","Governnmental","Rural","Academic years","high/moderate","N","No"
"1310","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1311","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"1312","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1313","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"1314","Female","Governnmental","Urban","Academic years","low","D/SD","Yes"
"1315","Male","Governnmental","Urban","Clinical Years","low","A/SA","Yes"
"1316","Female","Governnmental","Urban","Clinical Years","high/moderate","N","Yes"
"1317","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1318","Female","International","Urban","Academic years","high/moderate","D/SD","No"
"1319","Male","Governnmental","Rural","Academic years","high/moderate","A/SA","Yes"
"1320","Male","Governnmental","Rural","Academic years","low","D/SD","No"
"1321","Female","Governnmental","Urban","Academic years","low","N","No"
"1322","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1323","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1324","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1325","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"1326","Male","Governnmental","Rural","Academic years","low","D/SD","No"
"1327","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1328","Female","Governnmental","Urban","Academic years","low","N","No"
"1329","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1330","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1331","Female","Governnmental","Urban","Academic years","low","N","No"
"1332","Female","Governnmental","Urban","Academic years","low","N","No"
"1333","Female","Governnmental","Urban","Academic years","low","N","No"
"1334","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"1335","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1336","Female","Governnmental","Urban","Academic years","high/moderate","N","No"
"1337","Male","Governnmental","Rural","Academic years","low","N","No"
"1338","Female","Governnmental","Urban","Academic years","low","N","No"
"1339","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"1340","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1341","Male","Private","Urban","Academic years","low","A/SA","No"
"1342","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1343","Male","Governnmental","Rural","Academic years","low","D/SD","No"
"1344","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1345","Female","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"1346","Female","Governnmental","Urban","Academic years","low","N","No"
"1347","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1348","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1349","Female","Private","Urban","Clinical Years","low","N","No"
"1350","Female","Governnmental","Urban","Clinical Years","low","A/SA","Yes"
"1351","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1352","Female","Private","Urban","Clinical Years","high/moderate","A/SA","No"
"1353","Female","Governnmental","Rural","Academic years","low","N","No"
"1354","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"1355","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"1356","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1357","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"1358","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"1359","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1360","Female","Governnmental","Rural","Clinical Years","low","N","No"
"1361","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1362","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1363","Female","Governnmental","Urban","Academic years","low","N","No"
"1364","Male","International","Rural","Academic years","low","D/SD","No"
"1365","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1366","Male","Governnmental","Rural","Clinical Years","low","A/SA","No"
"1367","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1368","Male","Governnmental","Rural","Clinical Years","low","A/SA","No"
"1369","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1370","Male","Governnmental","Rural","Academic years","low","D/SD","No"
"1371","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1372","Male","Governnmental","Rural","Academic years","low","N","No"
"1373","Male","Governnmental","Rural","Clinical Years","low","N","No"
"1374","Male","Private","Urban","Clinical Years","low","N","No"
"1375","Female","Governnmental","Rural","Clinical Years","low","D/SD","No"
"1376","Female","Governnmental","Rural","Academic years","low","N","No"
"1377","Female","Governnmental","Urban","Academic years","low","N","No"
"1378","Male","Governnmental","Urban","Academic years","high/moderate","D/SD","Yes"
"1379","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1380","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1381","Male","Governnmental","Urban","Academic years","low","N","No"
"1382","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1383","Female","Governnmental","Rural","Academic years","low","N","No"
"1384","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1385","Female","Governnmental","Urban","Academic years","low","N","Yes"
"1386","Female","Governnmental","Urban","Academic years","low","N","No"
"1387","Female","Governnmental","Urban","Academic years","low","N","No"
"1388","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1389","Female","Governnmental","Urban","Academic years","low","N","No"
"1390","Male","Governnmental","Urban","Academic years","low","N","No"
"1391","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1392","Male","Private","Rural","Academic years","low","A/SA","No"
"1393","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"1394","Male","Private","Rural","Academic years","low","D/SD","No"
"1395","Female","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"1396","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"1397","Male","Private","Urban","Academic years","low","N","No"
"1398","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"1399","Female","Governnmental","Urban","Academic years","low","N","No"
"1400","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"1401","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1402","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1403","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1404","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1405","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1406","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1407","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1408","Female","Governnmental","Urban","Clinical Years","low","A/SA","Yes"
"1409","Female","Governnmental","Rural","Clinical Years","low","D/SD","No"
"1410","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1411","Male","Private","Urban","Clinical Years","low","D/SD","Yes"
"1412","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1413","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1414","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"1415","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1416","Female","Private","Rural","Academic years","low","A/SA","No"
"1417","Female","Governnmental","Rural","Academic years","low","N","No"
"1418","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1419","Male","Governnmental","Urban","Clinical Years","low","N","No"
"1420","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1421","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1422","Female","Governnmental","Urban","Academic years","low","N","No"
"1423","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1424","Female","Governnmental","Rural","Academic years","low","N","No"
"1425","Female","Private","Urban","Academic years","high/moderate","N","No"
"1426","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1427","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"1428","Male","Private","Urban","Clinical Years","low","N","No"
"1429","Female","Private","Urban","Clinical Years","low","A/SA","No"
"1430","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1431","Female","Private","Urban","Academic years","low","N","No"
"1432","Female","Governnmental","Urban","Clinical Years","low","N","No"
"1433","Female","Governnmental","Rural","Academic years","low","N","No"
"1434","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1435","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1436","Female","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"1437","Female","Governnmental","Urban","Academic years","low","N","No"
"1438","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1439","Female","Governnmental","Urban","Academic years","low","N","No"
"1440","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"1441","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1442","Female","Governnmental","Urban","Academic years","low","N","No"
"1443","Male","Private","Urban","Clinical Years","high/moderate","A/SA","No"
"1444","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"1445","Male","Governnmental","Rural","Clinical Years","low","D/SD","No"
"1446","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1447","Female","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"1448","Male","International","Urban","Academic years","low","D/SD","No"
"1449","Male","Governnmental","Urban","Clinical Years","high/moderate","D/SD","No"
"1450","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"1451","Male","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"1452","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"1453","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1454","Female","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"1455","Female","Private","Urban","Clinical Years","low","A/SA","No"
"1456","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1457","Female","Private","Urban","Clinical Years","low","A/SA","No"
"1458","Male","Governnmental","Rural","Clinical Years","low","A/SA","No"
"1459","Female","Governnmental","Rural","Academic years","low","N","No"
"1460","Male","Private","Urban","Academic years","low","A/SA","No"
"1461","Female","Private","Urban","Clinical Years","low","A/SA","No"
"1462","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"1463","Female","Private","Urban","Academic years","low","A/SA","No"
